lit_id,title,year,author,doi,document_type,purpose,data_collection,modeling,adaptive_management,sediment_characteristic,sediment_source,covered_topics_ecohydrology,covered_topics_ecohydraulics,covered_topics_ecological_systems,covered_topics_future_conditions,risk_and_uncertainty,special_cases,geography,sustainable_sediment_management,land_use,channel_type,site_names,longitude,latitude
L0011,Two pool-to-pool spacing periods on large sand-bed rivers: Mega-pools on the Madeira and Mississippi,2019,"Gibson, S, Osorio, A, Creech,C, Amorim, R, Dircksen, M, Dahl, T, Koohafkan, M",https://doi.org/10.1016/j.geomorph.2018.12.021,Journal Article,Analysis,"Bathymetry,Hydraulics","Hydraulic Modeling,Frequency Analysis",Not Applicable,Sand,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Land Management,Not Applicable,,"Madeira River,Mississippi River",5.6843418860808e-14,5.6843418860808e-14
L0012,Negotiating Hydraulic Uncertainty in Long Term Reservoir Sediment Models: Simulating Argandab Reservoir Deposition with HEC-RAS,2015,"Gibson, S, Pridal, D",https:/www.sedhyd.org/past/Proceedings%20(1).pdf,Conference Paper,"Planning,Analysis","Bathymetry,Sediment,Hydraulics",Sediment Transport Modeling,"Maintenance,Operations",Sand,Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Afghanistan,Deposition Control,Not Applicable,,Dahla Dam,5.6843418860808e-14,5.6843418860808e-14
L0013,Environmental Effects of the Big Rapids Dam Remnant Removal,2003,"Healy, DF, Rheaume, SJ, Simpson, JA",https://doi.org/10.3133/wri034136,Government Report,"Reporting,Analysis","Bathymetry,Water Quality,Sediment","Frequency Analysis,Regression",Maintenance,"Suspended,Bedload","Bank erosion,Reservoir release",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Michigan,"Sediment release,dam removal,Depostion control",Not Applicable,,Big Rapids Dam,5.6843418860808e-14,5.6843418860808e-14
L0014,In situ measurements of post-fire debris flows in southern California: Comparisons of the timing and magnitude of 24 debris-flow events with rainfall and soil moisture conditions,2011,"Kean, JW, Staley, DM, Cannon, SH",https://doi.org/10.1029/2011JF002005,Journal Article,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Frequency Analysis,Regression","Watershed Planning,Operations","Gravel,Sand,Suspended,Rock",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,"Debris flow,Wildfire",Southern California,Land Management,Not Applicable,,"Arroyo Seco,Jesusita,Dunsmore 2,Dunsmore 1,Big Tujunga",5.6843418860808e-14,5.6843418860808e-14
L0015,Evaluating Pre- and Post-Fire Peak Discharge Predictions across Western U.S. Watersheds,2014,"Kinoshita, AM, Hogue, TS, Napper, C",https://doi.org/10.1111/jawr.12226,Journal Article,Analysis,Hydraulics,"Hydraulic Modeling,Frequency Analysis","Flood risk,Watershed planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Wildfire,Western USA,Not Applicable,Not Applicable,,"Andrews Creek,Arroyo Seco,Devil Canyon,Frye Creek,Bull #3,Rock Creek,Fridley,Hayman",5.6843418860808e-14,5.6843418860808e-14
L0016,"A Rainfall Intensity-Duration Threshold for Landslides in a Humid-Tropical Environment, Puerto Rico",1993,"Larsen, M, Simon, A",https://doi.org/10.2307/521049,Journal Article,Analysis,"Bathymetry,Hydraulics",Regression,Watershed planning,"Cohesive,Gravel,Sand",Debris,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Debris flow,Puerto Rico,Land Management,"Forestry,Upland",,Puerto Rico,5.6843418860808e-14,5.6843418860808e-14
L0017,"The growing reservoir sedimentation problem in the U.S. Army Engineer District, Pittsburgh: Preparing for the 21st century",1999,"Loehlein, WC",https://doi.org/10.1061/40430(1999)104,Conference Paper,Operations,"Bathymetry,Sediment",Not Applicable,"Flood risk,Operations",Not Applicable,Erosion,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Pennsylvania,Deposition Control,Not Applicable,,"Conemaugh River Lake,Loyalhanna Lake,Crooked Creek Lake,Tionesta Lake",5.6843418860808e-14,5.6843418860808e-14
L0018,Sources and sinks of river sediment in the Atlantic Drainage of the United States.,1982,"Meade, RH",https://doi.org/10.1086/628677,Journal Article,Analysis,"Bathymetry,Water quality,Sediment,Hydraulics","Frequency Analysis,Regression",Watershed Planning,Suspended,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Eastern USA,"Land Management,Deposition control",Lowland,,"East Coast, USA",5.6843418860808e-14,5.6843418860808e-14
L0019,Landside occurrence in the western and central northern Rocky Mountain physiographic provinces in Idaho.,1978,"Megahan, WF, Day, NF, Bliss, TM",https://geodata.geology.utah.gov/pages/download.php?direct=1&noattach=true&ref=4784&ext=pdf&k=,Conference Paper,Analysis,Hydraulics,"Frequency Analysis,Regression","Economics,Watershed planning",Not Applicable,"Debris,Erosion",Yes,Yes,Not Applicable,Not Applicable,Flood,Debris flow,Idaho,Land Management,"Upland,Forestry",,"Clearwater National Forest,Middle Fork Payette River",5.6843418860808e-14,5.6843418860808e-14
L0020,Predicting the deposition in the Aswan High Dam Reservoir using a 2-D model,2013,"Moussa, AMA",https://doi.org/10.1016/j.asej.2012.08.004,Journal Article,"Planning,Design,Analysis","Bathymetry,Sediment","Hydraulic Modeling,Sediment Transport Modeling,Frequency Analysis,Regression","Watershed Planning,Maintenance,Operations","Suspended,Bedload","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Egypt,Deposition control,Not Applicable,,Aswan High Dam,5.6843418860808e-14,5.6843418860808e-14
L0021,"Comparison of Two Techniques to Measure Sediment Erodibility in the Fox River, Wisconsin",2007,"Ravens, T",https://doi.org/10.1061/(ASCE)0733-9429(2007)133:1(111),Journal Article,Analysis,"Bathymetry,Water Quality,Sediment","Laboratory Analysis,Sediment Transport Modeling",Not Applicable,"Cohesive,Suspended","Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Wisconsin,Not Applicable,Not Applicable,,Lower Fox River,5.6843418860808e-14,5.6843418860808e-14
L0022,Sediment Budget Development for the Great Lakes Region,2010,"Riedel, M, Selegean J, Dahl, T",https://www.researchgate.net/profile/Mark-Riedel/publication/228481087_SEDIMENT_BUDGET_DEVELOPMENT_FOR_THE_GREAT_LAKES_REGION/links/5b54c75c45851507a7bdc43d/SEDIMENT-BUDGET-DEVELOPMENT-FOR-THE-GREAT-LAKES-REGION.pdf,Conference Paper,"Planning,Operations,Maintenance,Reporting,Analysis",Sediment,Sediment Transport Modeling,"Watershed Planning,Maintenance,Operations","Cohesive,Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Great Lakes, USA","Land Management,Deposition control",Multi-use,,Great Lakes,5.6843418860808e-14,5.6843418860808e-14
L0023,"Mill Creek Channel, Walla Walla, Washington : hydraulic model investigation",1986,"Robinson, DW, Copeland, RR",https://hdl.handle.net/11681/13139,ERDC TN,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Laboratory Analysis","Flood risk,Operations","Gravel,Sand","Erosion,Plunge Pool",Yes,Yes,Not Applicable,Not Applicable,Flood,Not Applicable,Washington/Oregon USA,Flood diversion,Urban,,Mill Creek Channel,5.6843418860808e-14,5.6843418860808e-14
L0024,"Effects of simulated water level management on shore erosion rates. Case study: Baskatong Reservoir, Québec, Canada",2001,"Saint-Laurent, D, Touileb, BN, Saucet, JP, Whalen, A, Gagnon, B, Nzakimuena, T",https://doi.org/10.1139/l01-018,Journal Article,"Planning,Analysis","Bathymetry,Sediment,Hydraulics","Sediment Transport Modeling,Frequency Analysis",Watershed Planning,"Gravel,Sand,Suspended","Bank erosion,Suspended",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ice,"Quebec, CaNot Applicableda","Land Management,Deposition control",Not Applicable,,Mercier Dam,5.6843418860808e-14,5.6843418860808e-14
L0025,Evaluation of Uncertainties in Conowingo Reservoir Sediment Transport Modeling,2012,"Scott, S",https://dnr.maryland.gov/waters/bay/Documents/LSRWA/SteveScott_ModelingUncertaintyReport_Final_101612.pdf,USACE Report,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Maryland, USA",Deposition Control,Not Applicable,,Conowingo Dam,5.6843418860808e-14,5.6843418860808e-14
L0026,West Bay Sediment Diversion Effects,2013,"Sharp JA, Little CD, Brown GL, Pratt TC, Heath RE, Hubbard LC, Pinkard F, Martin K, Clifton ND, Perkey DW, Ganesh N",https://hdl.handle.net/11681/7733,ERDC TN,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Sand,Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,"LouisianNot Applicable, USA",Flood diversion,Wetlands,,West Bay Sediment Diversion (WBSD),5.6843418860808e-14,5.6843418860808e-14
L0027,"Impacts of clear-cutting and road construction on soil erosion by landslides in the western Cascade Range, Oregon",1975,"Swanson, FJ, Dyrness, CT",https://doi.org/10.1130/0091-7613(1975)3%3C393:IOCARC%3E2.0.CO;2,Journal Article,Analysis,Sediment,Frequency Analysis,Watershed Planning,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Debris flow,Oregon,Land Management,Forestry,,H.J. Andrews Experimental Forest,5.6843418860808e-14,5.6843418860808e-14
L0028,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,,"The Great Basin,San Joaquin River and Sacramento River basins,North-coastal California,Upper Columbia River and Snake River basins,Lower Columbia River basin,Willamette River basin,Coastal Oregon",5.6843418860808e-14,5.6843418860808e-14
L0029,Techniques for Estimating Sediment Yield of Ungaged Tributaries on the Southern Colorado Plateau,2001,"Webb, RH, Griffiths, PG, Hartley, DR",https://pubs.usgs.gov/misc/FISC_1947-2006/pdf/1st-7thFISCs-CD/7thFISC/7Fisc-V1/7FISC1-1.pdf#page=27,Conference Paper,Analysis,Sediment,Regression,Watershed Planning,Suspended,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,ArizoNot Applicable,Not Applicable,Not Applicable,,Grand Canyon,5.6843418860808e-14,5.6843418860808e-14
L0030,"Reservoir Evolution, Downstream Sediment Transport, Downstream Channel Change, and Synthesis of Geomorphic Responses of Fall Creek and Middle Fork Willamette River to Water Years 2012–18 Streambed Drawdowns at Fall Creek Lake, Oregon",2023,"Mackenzie K. Keith, J. Rose Wallick, Liam N. Schenk, Laurel E. Stratton Garvin, Gabriel W. Gordon, and Heather M. Bragg",https://doi.org/10.3133/sir20235135,USGS Report,"Reporting,Analysis","Bathymetry,Water Quality,Sediment,Ecological,Hydraulics","Laboratory Analysis,Sediment Transport Modeling,Regression",Operations,"Suspended,Bedload",Reservoir Release,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,,Oregon,Not Applicable,,Regulated river,Fall Creek Dam,5.6843418860808e-14,5.6843418860808e-14
L0031,"Sediment transport, turbidity, and dissolved oxygen responses to annual streambed drawdowns for downstream fish passage in a flood control reservoir",2021,"Liam N. Schenk, Heather M. Bragg",10.1016/j.jenvman.2021.113068,Journal Article,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Laboratory Analysis,Regression",Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Oregon,Not Applicable,,,Fall Creek Dam,5.6843418860808e-14,5.6843418860808e-14
L0032,"Final Environmental Assessment, Sediment Retention Structure (SRS) Spillway Raise Project, Mount St. Helens Sediment Management for Flood Risk Reduction",2012,,,USACE Report,"Design,Analysis","Bathymetry,Sediment,Hydraulics","Laboratory Analysis,Sediment Transport Modeling,Regression","Maintenance,Operations","Suspended,Bedload",Mt St Helens landslide,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,,Washington,Not Applicable,,,Mt St Helens Sediment Retention Structure,5.6843418860808e-14,5.6843418860808e-14
L0033,"Influence of Cougar Reservoir drawdown on sediment and DDT transport and deposition in the McKenzie River basin, Oregon, water years 2002–04",2007,Anderson,https://doi.org/10.3133/sir20075164,USGS Report,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Laboratory Analysis,Sediment Transport Modeling,Regression",Not Applicable,Suspended,Reservoir Release,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Oregon,Not Applicable,,,Cougar Dam,5.6843418860808e-14,5.6843418860808e-14
L0034,"Modeling hydrodynamics, water temperature, and suspended sediment in Detroit Lake, Oregon",2007,"Sullivan, A.B., Rounds, S.A., Sobieszczyk, S., and Bragg, H.M.,",https://doi.org/10.3133/sir20075008,USGS Report,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Laboratory Analysis,Sediment Transport Modeling,Regression",Watershed MaNot Applicablegement,Suspended,Reservoir Release,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Oregon,Not Applicable,,,Detroit Dam,5.6843418860808e-14,5.6843418860808e-14
L0035,"Final Programmatic Environmental Impact Statement Prepared for the Removal and Disposal of Sediment and Restoration of Water Storage at John Redmond Reservoir, Kansas",2014,Kansas Water Office,https://www.swt.usace.army.mil/Portals/41/docs/library/john_redmond/fpeis_remove_dispose_sediment_jrr_ks.pdf,Government Report,"Reporting,Analysis","Water Quality,Sediment,Ecological,Public Participation",Not Applicable,"Economics,Watershed planning","Gravel,Suspenced,Sand",Reservoir pool,Yes,Yes,Yes,Yes,Not Applicable,Not Applicable,Eastern Kansas,"Sediment release,Beneficial use of dredged material",Not Applicable,Alluvial fan,"John Redmond Dam, Neosho River",5.6843418860808e-14,5.6843418860808e-14
L0036,Engineer's Report for Prado Basin Sediment Management Demonstration Project,2015,Orange County Water District,https://www.ocwd.com/wp-content/uploads/wic13cpradosmdpengineersreportjanuary2015.pdf,Government Report,"Planning,Reporting","Bathymetry,Sediment,Ecological",Not Applicable,"Flood risk,Economics,Watershed planning,Maintenance","Silt,Clay",Reservoir release,Yes,Yes,Yes,Yes,Flood,Not Applicable,Southern California,"Sediment release,dam removal,Depostion control",Forestry,Alluvial fan,Prado Dam,5.6843418860808e-14,5.6843418860808e-14
L0037,"Matilija Dam Removal, Sediment Transport, and Robles Diversion Mitigation Project, Dam Removal Concepts Evaluation Report",2016,Ventura County Watershed Protection District,https://matilijadam.venturacounty.gov/documents/2016-03%20Matilija%20Task%201.3%20Concepts%20Evaluation%20Report.pdf,Government Report,"Design,Analysis","Bathymetry,Sediment,Ecological",Not Applicable,"Flood risk,Economics,Maintenance","Gravel,Sand,Suspended",Reservoir release,Yes,Yes,Yes,Yes,Flood,Not Applicable,Southern California,"Sediment release,dam removal,Depostion control",Not Applicable,"Mountain torrents,Alluvial fans",Matilija Dam,5.6843418860808e-14,5.6843418860808e-14
L0038,Changes in streamflow and sediment discharge and the response to human activities in the middle reaches of the Yellow River,2011,"Gao, P, Mu, X-M, Wang, F, Li, R",https://doi.org/10.5194/hess-15-1-2011,Journal Article,Analysis,"Sediment,Hydraulics","Frequency Analysis,Regression",Watershed Planning,"Suspended,Silt",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Ordos Plateau, ChiNot Applicable","Sediment release,Land Management",Upland,"Mountain torrents,Alluvial fans,Deltas","Yellow River, middle reach",5.6843418860808e-14,5.6843418860808e-14
L0039,The passage of turbid water through Lake Mead,1938,"Grover, NC, Howard, CS",https://doi.org/10.1061/TACEAT.0004942,Journal Article,"Operations,Maintenance,Reporting,Analysis","Water Quality,Hydraulics",Frequency Analysis,"Maintenance,Operations","Suspended,Silt",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"ArizoNot Applicable,Nevada",Sediment release,Multi-use,"Mountain torrents,Alluvial fans",Hoover Dam,5.6843418860808e-14,5.6843418860808e-14
L0040,Field Measurement of Hydrodynamics and Sediment Transport of the Mississippi River at Old River,1991,"Hall, BR, Fagerburg, TL",https://www.worldcat.org/title/23942043,Conference Paper,Analysis,"Water Quality,Sediment,Hydraulics",Regression,Operations,"Suspended,Sand,Silt,Clay",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,"LouisiaNot Applicable,Mississippi","Flood diversion,Deposition control",Wetlands,Deltas,Old River Control Structure,5.6843418860808e-14,5.6843418860808e-14
L0041,Erodibility of cohesive streambeds in the loess area of the midwestern USA,2001,"Hanson, GJ, Simon, A",https://doi.org/10.1002/hyp.149,Journal Article,Analysis,"Bathymetry,Hydraulics","Hydraulic Equations,Laboratory Analysis,Regression",Watershed planning,"Cohesive,Silt","Erosion,Plunge Pool",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Nebraska,Mississippi",Land Management,Not Applicable,Cohesive channels,"midwestern USA stream beds,Yalobusha River",5.6843418860808e-14,5.6843418860808e-14
L0042,Sedimentation in New Zealand Hydroelectric Schemes,1984,"Jowett, I",https://doi.org/10.1080/02508068408686533,Journal Article,"Planning,Design,Operations,Maintenance",Sediment,Not Applicable,"Economics,Maintenance,Operations","Gravel,Sand","Reservoir pool,Reservoir release,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,New Zealand,"Sediment release,Deposition control",Not Applicable,Mountain torrents,"Roxburgh Dam,Matahina Power Station,Waitaki Dam,Morton Dam",5.6843418860808e-14,5.6843418860808e-14
L0043,"Sediment deposition and occurrence of selected nutrients and other chemical constituents in bottom sediment, Tuttle Creek Lake, Northeast Kansas, 1962-1999",2002,"Juracek, KE, Mau, DP",https://doi.org/10.3133/wri024048,Government Report,"Reporting,Analysis","Bathymetry,Water quality,Sediment",Not Applicable,Not Applicable,"Gravel,Sand,Silt,Clay",Reservoir pool,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Kansas,Not Applicable,Multi-use,Meandering rivers,Tuttle Creek Dam,5.6843418860808e-14,5.6843418860808e-14
L0044,"Estimation of sediment sources using selected chemical tracers in the Perry Lake and Lake Wabaunsee Basins, Northeast Kansas",2007,"Juracek, KE, Ziegler, AC",https://doi.org/10.3133/sir20075020,Government Report,"Planning,Reporting,Analysis","Water Quality,Sediment",Not Applicable,Watershed Planning,"Suspended,Silt,Clay","Bank erosion,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Eastern Kansas,Land Management,Lowland,Meandering rivers,"Perry Dam,Lake Wabaunsee",5.6843418860808e-14,5.6843418860808e-14
L0045,Management of coarse sediment in regulated rivers of California,1991,"Kondolf, GM, Matthews, WVG",https://escholarship.org/uc/item/5rw9k19j,Government Report,"Planning,Maintenance,Reporting,Analysis","Bathymetry,Hydraulics",Not Applicable,"Watershed planning,Maintenance,Operations","Gravel,Sand","Suspended,Erosion",Yes,Yes,Yes,Not Applicable,Not Applicable,Not Applicable,"California, Sierra Nevada","Land Management,beneficial use of dredged material,deposition control","Forestry,Upland","Mountain torrents,Alluvial fans,Deltas","New Exchequer Dam,Don Pedro Dam,La Grange Dam,New Hogan Dam,New Melones Dam,Tulloch Dam,Camanche Dam,Cosumnes River,Folsom Dam,Camp Far West Reservoir,Englebright Dam,Oroville Dam,Shasta Dam,Whiskeytown Dam,Trinity Dam,Black Butte Dam",5.6843418860808e-14,5.6843418860808e-14
L0046,Theodore Roosevelt Reservoir 1995 Sedimentation survey,1996,"Lyons, J, Lest, L",https://www.govinfo.gov/content/pkg/GOVPUB-I27-PURL-gpo6560/pdf/GOVPUB-I27-PURL-gpo6560.pdf,Government Report,Reporting,Bathymetry,Not Applicable,"Watershed planning,Operations",Not Applicable,Reservoir pool,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,ArizoNot Applicable,deposition control,"Forestry,Upland","Mountain torrents,Alluvial fans",Theodore Roosevelt Dam,5.6843418860808e-14,5.6843418860808e-14
L0047,"Verification of sediment transport functions, Missouri River",1980,"Mahmood, K",https://erdclibrary.on.worldcat.org/oclc/9212449,USACE Report,"Planning,Design,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Equations,Sediment Transport Modeling,Regression",Flood risk,Bedload,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,"Nebraska,Iowa",Deposition Control,Not Applicable,Alluvial fan,"Gavins Point Dam,Missouri River from Ponca to Omaha",5.6843418860808e-14,5.6843418860808e-14
L0048,Analysis of Three Delta Headwaters Project Streams Using the SIAM Model,2010,"Martin, M, Biedenharn, D, Little, C, Smith, K, Waterson, C",https://search.worldcat.org/title/713189486,Conference Paper,"Planning,Analysis","Bathymetry,Sediment,Hydraulics",Sediment Transport Modeling,Watershed planning,"Cohesive,Suspended,Silt,Clay","Bank erosion,Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Mississippi,"Land Management,Deposition control","Forestry,Wetlands",Deltas,"Hickahala Creek,Long and Caney Creek,Harland Creek",5.6843418860808e-14,5.6843418860808e-14
L0049,Saylorville Spillway: Emergency to Service Spillway,1993,"McCully, DW, Mech, GJ",https://www.worldcat.org/title/27811417,Conference Paper,"Design,Construction,Analysis",Hydraulics,Hydraulic Equations,"Flood risk,Maintenance,Operations",Rock,"Headcut,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Iowa,Flood diversion,Multi-use,Alluvial fan,Saylorville Dam,5.6843418860808e-14,5.6843418860808e-14
