entry_id,lit_id,site_id,site_name,title,year,author,doi,document_type,purpose,data_collection,modeling,adaptive_management,sediment_characteristic,sediment_source,covered_topics_ecohydrology,covered_topics_ecohydraulics,covered_topics_ecological_systems,covered_topics_future_conditions,risk_and_uncertainty,special_cases,geography,sustainable_sediment_management,land_use,channel_type
E00040,L0023,mill-creek-channel,Mill Creek Channel,"Mill Creek Channel, Walla Walla, Washington : hydraulic model investigation",1986,"Robinson, DW, Copeland, RR",https://hdl.handle.net/11681/13139,ERDC TN,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Laboratory Analysis","Flood risk,Operations","Gravel,Sand","Erosion,Plunge Pool",Yes,Yes,Not Applicable,Not Applicable,Flood,Not Applicable,Washington/Oregon USA,Flood diversion,Urban,
E00041,L0024,mercier-dam,Mercier Dam,"Effects of simulated water level management on shore erosion rates. Case study: Baskatong Reservoir, Québec, Canada",2001,"Saint-Laurent, D, Touileb, BN, Saucet, JP, Whalen, A, Gagnon, B, Nzakimuena, T",https://doi.org/10.1139/l01-018,Journal Article,"Planning,Analysis","Bathymetry,Sediment,Hydraulics","Sediment Transport Modeling,Frequency Analysis",Watershed Planning,"Gravel,Sand,Suspended","Bank erosion,Suspended",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ice,"Quebec, CaNot Applicableda","Land Management,Deposition control",Not Applicable,
E00042,L0025,conowingo-dam,Conowingo Dam,Evaluation of Uncertainties in Conowingo Reservoir Sediment Transport Modeling,2012,"Scott, S",https://dnr.maryland.gov/waters/bay/Documents/LSRWA/SteveScott_ModelingUncertaintyReport_Final_101612.pdf,USACE Report,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Maryland, USA",Deposition Control,Not Applicable,
E00043,L0026,west-bay-sediment-diversion-wbsd,West Bay Sediment Diversion (WBSD),West Bay Sediment Diversion Effects,2013,"Sharp JA, Little CD, Brown GL, Pratt TC, Heath RE, Hubbard LC, Pinkard F, Martin K, Clifton ND, Perkey DW, Ganesh N",https://hdl.handle.net/11681/7733,ERDC TN,"Operations,Analysis","Bathymetry,Sediment,Hydraulics","Hydraulic Modeling,Sediment Transport Modeling",Operations,"Sand,Suspended,Bedload",Suspended,Not Applicable,Not Applicable,Not Applicable,Yes,Flood,Not Applicable,"LouisianNot Applicable, USA",Flood diversion,Wetlands,
E00044,L0027,h-j-andrews-experimental-forest,H.J. Andrews Experimental Forest,"Impacts of clear-cutting and road construction on soil erosion by landslides in the western Cascade Range, Oregon",1975,"Swanson, FJ, Dyrness, CT",https://doi.org/10.1130/0091-7613(1975)3%3C393:IOCARC%3E2.0.CO;2,Journal Article,Analysis,Sediment,Frequency Analysis,Watershed Planning,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Debris flow,Oregon,Land Management,Forestry,
E00045,L0028,the-great-basin,The Great Basin,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00046,L0028,san-joaquin-river-and-sacramento-river-basins,San Joaquin River and Sacramento River basins,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00047,L0028,north-coastal-california,North-coastal California,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00048,L0028,upper-columbia-river-and-snake-river-basins,Upper Columbia River and Snake River basins,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00049,L0028,lower-columbia-river-basin,Lower Columbia River basin,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00050,L0028,willamette-river-basin,Willamette River basin,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00051,L0028,coastal-oregon,Coastal Oregon,"Floods of December 1964 and January 1965 in the Far Western States."" Part 2: Streamflow and Sediment Data",1970,"Waananen, AO, Harris, DD, Williams, RC",https://doi.org/10.3133/wsp1866B,Government Report,Reporting,Hydraulics,Not Applicable,"Flood risk,Watershed Planning",Suspended,Suspended,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,Northwest USA,Deposition Control,Not Applicable,
E00052,L0029,grand-canyon,Grand Canyon,Techniques for Estimating Sediment Yield of Ungaged Tributaries on the Southern Colorado Plateau,2001,"Webb, RH, Griffiths, PG, Hartley, DR",https://pubs.usgs.gov/misc/FISC_1947-2006/pdf/1st-7thFISCs-CD/7thFISC/7Fisc-V1/7FISC1-1.pdf#page=27,Conference Paper,Analysis,Sediment,Regression,Watershed Planning,Suspended,"Suspended,Erosion",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Flood,Not Applicable,ArizoNot Applicable,Not Applicable,Not Applicable,
E00053,L0030,fall-creek-dam,Fall Creek Dam,"Reservoir Evolution, Downstream Sediment Transport, Downstream Channel Change, and Synthesis of Geomorphic Responses of Fall Creek and Middle Fork Willamette River to Water Years 2012–18 Streambed Drawdowns at Fall Creek Lake, Oregon",2023,"Mackenzie K. Keith, J. Rose Wallick, Liam N. Schenk, Laurel E. Stratton Garvin, Gabriel W. Gordon, and Heather M. Bragg",https://doi.org/10.3133/sir20235135,USGS Report,"Reporting,Analysis","Bathymetry,Water Quality,Sediment,Ecological,Hydraulics","Laboratory Analysis,Sediment Transport Modeling,Regression",Operations,"Suspended,Bedload",Reservoir Release,Not Applicable,Yes,Yes,Not Applicable,Not Applicable,,Oregon,Not Applicable,,Regulated river
E00054,L0031,fall-creek-dam,Fall Creek Dam,"Sediment transport, turbidity, and dissolved oxygen responses to annual streambed drawdowns for downstream fish passage in a flood control reservoir",2021,"Liam N. Schenk, Heather M. Bragg",10.1016/j.jenvman.2021.113068,Journal Article,"Reporting,Analysis","Water Quality,Sediment,Hydraulics","Laboratory Analysis,Regression",Operations,Suspended,Reservoir Release,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,,Oregon,Not Applicable,,
